HashFunc: BKDRHash    Op: Insert    Key: unroomy    LF: 0.442748     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: arthrectomy    LF: 0.450382     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: breaden    LF: 0.458015     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: altercation    LF: 0.465649     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: pertuse    LF: 0.473282     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: protist    LF: 0.480916     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: Cypridinidae    LF: 0.488550     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: coleorhiza    LF: 0.496183     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: perfectist    LF: 0.503817     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: involutorial    LF: 0.511450     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: alchemical    LF: 0.519084     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: bauxitite    LF: 0.526718     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: Diprotodontia    LF: 0.534351     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: morrowing    LF: 0.541985     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: quadruplet    LF: 0.549618     OCC([min, max] depth): [0, 3]
HashFunc: BKDRHash    Op: Insert    Key: rutherford    LF: 0.557252     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: Icosandria    LF: 0.564885     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: filao    LF: 0.572519     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: sketchable    LF: 0.580153     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: oxymel    LF: 0.587786     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: disincorporation    LF: 0.595420     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: iridate    LF: 0.603053     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: rabbitwise    LF: 0.610687     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: tovar    LF: 0.618321     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: untight    LF: 0.625954     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: Bobadil    LF: 0.633588     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: liparocele    LF: 0.641221     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: tenaciously    LF: 0.648855     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: reproportion    LF: 0.656489     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: chainon    LF: 0.664122     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: Britannian    LF: 0.671756     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: perpetuant    LF: 0.679389     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: otolaryngologist    LF: 0.687023     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: proreciprocation    LF: 0.694656     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: fructuousness    LF: 0.702290     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: Limnophilidae    LF: 0.709924     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: deliberateness    LF: 0.717557     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: nonadjustable    LF: 0.725191     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: alloxanic    LF: 0.732824     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: scleroblastemic    LF: 0.740458     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: pneumatolitic    LF: 0.748092     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: juror    LF: 0.755725     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: philoprogeneity    LF: 0.763359     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: parasyphilosis    LF: 0.770992     OCC([min, max] depth): [0, 4]
HashFunc: BKDRHash    Op: Insert    Key: humankind    LF: 0.778626     OCC([min, max] depth): [0, 4]
